codigo,descricao,direcao,grupo_padrao
5551,VENDA DO ATIVO IMOBILIZADO,saida,1.4
5556,DEV. DE COMPRA DE MATERIAL DE USO OU CONSUMO,saida,1.4
5901,REMESSA PARA INDUSTRIALIZACAO POR ENCOMENDA,saida,1.4
5904,REMESSA PARA VENDA FORA ESTABELECIMENTO,saida,1.4
5905,REMESSA PARA DEPOSITO FECHADO OU ARM. GERAL,saida,1.4
5906,RETORNO DE MERCADORIA DEPOSITADA EM DEPOSITO FECHADO OU ARMA,saida,1.4
5909,RETORNO DE BEM RECEBIDO POR CONTA DE CONTRATO DE COMODATO,saida,1.4
5910,"BONIFICACAO, DOACAO OU BRINDE",saida,1.4
5922,LANCAMENTO EFETUADO A TITULO DE SIMPLES FATURAMENTO DECORREN,saida,1.4
5923,"REMESSA DE MERCADORIA POR CONTA E ORDEM DE TERCEIROS, EM VEN",saida,1.4
5926,LANCAMENTO EFETUADO A TITULO DE RECLASSIFICACAO DE MERCADORI,saida,1.4
5927,LANCAMENTO EFETUADO A TITULO DE BAIXA DE ESTOQUE DECORRENTE,saida,1.6
5949,OUTRA SAÍDA DE MERCADORIA OU PRESTAÇÃO DE SERVIÇO,saida,1.4
6102,VENDA DE MERC. ADQUIRIDA OU RECEBIDA DE TERCEIROS,saida,1.1
6108,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, DEST",saida,1.1
6117,"VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS, ORIG",saida,1.1
6119,VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS ENTRE,saida,1.1
6202,DEV. DE COMPRA PARA COMERCIALIZACAO,saida,1.2
6403,VENDA DE MERCADORIA SUJEITA AO REGIME DE S.T.-SUBSTITUTO,saida,1.1
6411,DEVOLUCAO DE COMPRA DE MERCADORIA SUJEITA AO REGIME DE S.T.,saida,1.2
6556,DEV. DE COMPRA DE MATERIAL DE USO OU CONSUMO,saida,1.2
6901,REMESSA PARA INDUSTRIALIZAÇÃO POR ENCOMENDA,saida,1.4
6910,"BONIFICACAO, DOACAO OU BRINDE",saida,1.4
6921,RETORNO DE VASILHAME,saida,1.4
6923,"REMESSA DE MERCADORIA POR CONTA E ORDEM DE TERCEIROS, EM VEN",saida,1.4
6949,OUTRAS SAIDAS EXTERNA.,saida,1.4
7102,VENDA DE MERCADORIA ADQUIRIDA OU RECEBIDA DE TERCEIROS - EXTERIOR,saida,1.1
